ID	year	ndep_total	NDVI	precip	si10	ssrd	total_rsoil	cSoil	N_total	pop	Soil_TP	Soil_TN	Soil_PH	Cropland	Forest	Grassland	t2m	pH	DO	PI	NH4-N	TN	TP	EC	Tur	Chla	DOC	Area	Lat	Lon	npp_mod	gpp_mod	pCO2_air
1227.0	2010	0.7572420000823055	0.2029576400425639	26.52214073533784	3.935643714970116	14.736988943196057	3.7877835081317457	4.814796389624216	0.3802062100653994	0.7054879356801518	0.4242391139657879	1.0779521296542995	6.801530575225364	1.193306908967976e-05	1.7584499855765323e-05	0.9993719199444802	-0.156178861843106	8.379195392832493	9.53207154200473	5.9683394072476785	0.0938502646040306	2.0834104833331013	0.0911871233619279	818.1607006699588	38.59168467181783	0.0235809269755717	24.50091090509467	0.97425532262	48.0278801804929	118.519362909352	2184.68	340.391	359.17021805768195
1228.0	2010	1.2165515160256215	0.3088357582067449	44.09542725872103	3.723107079664866	14.593756291666669	25.05742436342408	4.992465496063232	1140.54025	40.15192794799805	0.4944490432739258	1.292302703857422	7.751043090820313	0.9178689587394568	0.0	0.0189092068200277	4.745197550455761	8.259738670033453	9.887787047859009	4.423324219958579	0.0981366526814142	3.1262896087296457	0.0592459408548282	1111.2167006035345	30.543784933946178	0.0155589906312657	19.78500301571363	1.16244587696	45.0962159092854	124.472969550744	3133.6667	606.42004	384.1596901418496
1229.0	2010	1.237293347403079	0.2585065675278504	31.55152618315678	3.6712297598520913	15.350440833333332	7.052829766135992	5.01494026184082	2.397554036458333	1.973914861679077	0.41	0.3	8.16	0.0	0.0	1.0	6.484516398111992	8.423437603748154	9.963736883517182	4.635828819254688	0.0947420636359873	2.2746142780662577	0.0645110554606429	929.5519393655215	41.992198000737794	0.0260288416521436	21.20009493645768	1.32806684266	44.419076440121	121.525708501188	2210.2427	396.34805	381.6071434836342
1230.0	2010	0.8902755201795065	0.2343108337372541	95.48454623829213	2.0714539289474487	16.862598416666668	54.95045229231746	3.438647747039795	371.5199583333333	33.26783752441406	0.5274206924438477	1.3723701477050778	5.808638916015625	0.0705903100272867	0.0	0.0	19.07239176432292	7.91807281960024	8.147309503942171	7.0940680892652495	0.1636694351673479	1.7477027627382178	0.0659418013430595	560.3717577064267	43.05569698190189	0.0174405705523226	21.73635851914183	25.490306647600004	23.6729690776023	102.567024669099	9030.165	1497.5844	329.902257477131
1231.0	2010	0.2647141946893194	0.0226481259451247	47.89288469468179	1.8638937373956048	19.963991916666668	0.0599485808049049	1.005786776542664	0.0	0.0258627831935882	0.5791925430297852	1.04616828918457	7.681941528320312	0.0	0.0	0.0	-6.917448425292932	8.365367448565552	9.052969147304353	6.020345414697144	0.0957060923473907	1.4258925283933166	0.0612921290152308	1100.9968428631598	62.59866546588591	0.0203337552003937	12.036542872441007	6.340969954360001	37.3430192692164	86.095790622761			228.60844817839583
1232.0	2010	1.49683232433806	0.4631145273645718	103.85424507829494	3.0051762064297995	14.451974833333333	40.34723280225077	10.36048412322998	3148.971666666667	88.60667419433594	0.4269924163818359	1.14967887878418	6.085360717773438	0.9632732154281668	0.0	0.0	16.321806844075542	7.764358285212354	9.047498663346826	3.9446237780814783	0.1032079789630299	2.264997419174087	0.0734032326165306	509.77662477538706	52.98709450864083	0.01559328456781	14.77853640765396	1.03393461071	31.9470127988752	117.572016089803	4600.159	940.758	388.76035033353367
1233.0	2010	1.1007160568010654	0.1827381829886386	27.018655996631185	4.4362038771311445	15.39044425	12.899699617230196	5.392431259155273	0.0	0.2302571535110474	0.5712600326538086	1.050723190307617	7.669729003906251	0.0	0.0	1.0	1.1797920227051055	8.404718335257504	9.654458906847696	5.817734853800046	0.0763929701893793	2.149079561633176	0.0960585373102012	1022.183406618295	32.483431800846546	0.0242781149895131	13.165886538039915	1.20715555976	45.5930024734337	118.983101679589	2068.3958	325.25137	352.10008541333144
1234.0	2010	1.569038712082027	0.5229751051714023	105.50360779422896	2.3482831517855325	14.026267166666663	38.19137530398801	9.457823276519775	2170.1490833333337	240.55159759521484	0.4101395797729492	1.214170112609863	6.177231445312501	0.979746632943749	0.0202533423522857	0.0	17.298469797770206	7.719292139428476	8.390017296805054	3.4880939962509028	0.10297447598327	1.622226126526727	0.0527873284621754	375.72341097419303	29.28095275455472	0.0170056517860688	7.78642385813934	1.21091112457	30.2771202749088	111.727057338302	4652.8374	1026.5157	388.5290142199612
1235.0	2010	0.8202447052668012	0.1276163800309101	35.97807263504726	3.4780303239822388	22.940798416666667	4.197222203351891	10.9384126663208	0.0	0.0032875293400138	0.6162967681884767	1.716226959228516	7.178809814453125	0.0	0.0	1.0	-3.692394002278633	8.411692945121851	9.91098948015042	5.677747899821263	0.1179013753958018	1.9497547696665136	0.07489406088453	968.9043678191398	61.146900631095185	0.0273816638282772	10.533520412766396	1.03168799248	30.5343471755795	84.5233814733481	302.4155	43.360565	204.04085239798025
1236.0	2010	1.176888264163555	0.2827722460349501	37.17215892475985	3.548559006284719	14.580905789311544	23.97415986780248	5.6984556895223415	616.2853464735944	28.460458912227296	0.539060553147756	1.4611445089788069	7.978765484376346	0.7207900201229348	0.0469249324563456	0.0486743934500054	3.409586189584607	8.121817769318112	9.991991310375438	4.453810773640222	0.0939419862866073	2.955331563656882	0.0554603082988464	1012.3929251154782	36.0341071973177	0.0199469490329163	17.625216326449472	0.573560657139	46.791140605221	124.553678379177	2593.508	456.50644	383.839690418468
1237.0	2010	0.771369999412689	0.3933353227763254	91.35702192472904	1.6222885312505335	19.04551710086909	33.711082255479106	16.68836472416892	28.124343870700965	16.848828448248046	0.7539482590470127	2.4306266028623456	7.109651707771245	0.0	0.0150536204709538	0.984794679438844	-1.1409011026855005	8.340386475293828	9.229326897754191	3.142470224273385	0.08454427700473	1.2432580878398862	0.0400559847397025	765.7124201508635	48.99052585452691	0.0220708576664881	7.318956531220272	0.825671432424	31.6582425063994	100.256613204832	3530.9795	517.1155	257.1117221161856
